ID;Titre;Entité;Demandeur - Demandeur;Type;Catégorie;Statut;Date d'ouverture;Dernière modification;Date de résolution;Types d'élément associé;Attribué à - Spécialiste;Éléments associés;Attribué à - Assigné à un responsable de secteur;Temps de résolution dépassé;Temps interne de résolution dépassé;TTO dépassé;TTO interne dépassé
2 405 348 909;Registre de doléances Finances - RECEPETION;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 16 > Trésorerie > Trésorerie Wilaya ALGER;Trésorerie ALGER ;Doléance;Doléance > . Accueil;En cours (Attribué);14/07/2024 14:09;14/07/2024 14:09;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 348 904;Registre de doléances Finances - RECEPETION;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 16 > Trésorerie > Trésorerie Wilaya ALGER;Trésorerie ALGER ;Doléance;Doléance > . Accueil;En cours (Attribué);14/07/2024 14:08;14/07/2024 14:08;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 348 900;Registre de doléances Finances - RECEPETION;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 16 > Trésorerie > Trésorerie Wilaya ALGER;Trésorerie ALGER ;Doléance;Doléance > . Accueil;En cours (Attribué);14/07/2024 14:07;14/07/2024 14:07;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 348 885;Registre de doléances Finances - RECEPETION;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 16 > Trésorerie > Trésorerie Wilaya ALGER;Trésorerie ALGER ;Doléance;Doléance > . Accueil;En cours (Attribué);14/07/2024 14:06;14/07/2024 14:06;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 348 881;Registre de doléances Finances - RECEPETION;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 16 > Trésorerie > Trésorerie Wilaya ALGER;Trésorerie ALGER ;Doléance;Doléance > . Accueil;En cours (Attribué);14/07/2024 14:05;14/07/2024 14:05;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 340 846;سجل الشكاوي: المالية - المعاملة;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 40 > Trésorerie > Trésorerie Wilaya  KHENCHELA;Trésorerie KHENCHELA ;Doléance;Doléance > . Comportement;En cours (Attribué);04/07/2024 09:34;11/07/2024 13:34;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 344 371;Registre de doléances Finances - AUCUNE DOLEANCE;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 10 > Trésorerie > Trésorerie Communale Bechloul;Trésorerie Communale Bechloul ;Doléance;Doléance > Autre;En cours (Attribué);09/07/2024 13:28;09/07/2024 13:28;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 337 562;Registre de doléances Finances - registre doléance;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 15 > Trésorerie > Trésorerie Intercommunale Azeffoun;Trésorerie Intercommunale Azeffoun ;Doléance;Doléance > . Accueil;En cours (Attribué);02/07/2024 10:08;02/07/2024 10:08;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 404 098 151;سجل الشكاوي: المالية - تحسين المعاشات;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 46 > Trésorerie > Trésorerie Wilaya  AIN TEMOUCHENT;Trésorerie AIN TEMOUCHENT ;Doléance;Doléance > Autre;En cours (Attribué);16/05/2024 14:36;30/06/2024 17:52;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 332 738;Registre de doléances Finances - إيداع الوضعية المالية في الفترة المسائية;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 35 > Trésorerie > Trésorerie Wilaya BOUMERDES;Trésorerie BOUMERDES ;Doléance;Doléance > . Orientation;En cours (Attribué);27/06/2024 09:33;30/06/2024 08:33;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
2 405 332 766;Registre de doléances Finances - إيداع الوضعية المالية في الفترة المسائية;Dépendance Institutionnelles > Primature > Finances > Services déconcentrés > Wilaya 35 > Trésorerie > Trésorerie Wilaya BOUMERDES;Trésorerie BOUMERDES ;Doléance;Doléance > . Orientation;En cours (Attribué);27/06/2024 09:39;30/06/2024 08:22;;Réponse de formulaire;;Registre de doléances auprès des services des Finances;;Oui;Non;Non;Non
